,Area (x10$^6$ km$^2$),Area (x10$^6$ km$^2$),Mean EKE (cm$^2$ s$^{-2}$),Mean EKE (cm$^2$ s$^{-2}$)
,ALL SAT,TWO SAT,ALL SAT,TWO SAT
Global,327.8873890083404,327.8873890083404,224.8294,227.08688
High EKE,16.53778239981465,16.53778239981465,1018.1217,1003.62244
Tropical,43.93742181170847,43.93742181170847,330.5117,354.68393
Residual,277.3405187446823,277.3405187446823,152.73434,152.45898
GWSE,1.898319561341655,1.898319561341655,1179.1573,1133.1045
AC,5.922373970369753,5.922373970369753,982.23444,974.2738
KE,2.7232932528276605,2.7232932528276605,1043.044,1028.1088
GS,2.7989354667605575,2.7989354667605575,1078.967,1061.136
LC,0.5065038765888505,0.5065038765888505,1133.6323,1124.1884
BMC,1.5637468864073036,1.5637468864073036,838.23346,837.0537
EAC,1.1246093855188675,1.1246093855188675,921.6087,914.48914
